file,type,count,distinct_retired_ids,retired_ids,lines_also_naming_an_in_service_module
code_audit/run30_supply_path_reconciliation.csv,per-module audit rows (committed artifact),38,19,B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9,0
code_audit/run32_defensibility_metadata_reconciliation.csv,per-module audit rows (committed artifact),38,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run35_scientific_target_scope.csv,per-module audit rows (committed artifact),38,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run35_unresolved_calibration_inventory.csv,per-module audit rows (committed artifact),38,36,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 D1.1 D1.2 D1.3 D1.4 D1.5,0
p0-baseline/module_renumbering_map.csv,CSV rows,38,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
server/tools/taxonomy_authority.json,audit-artifact generator / tool,38,38,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
server/tools/test_run20_cycle10_truthful_labels.py,test suite,38,11,A2.10 A2.11 A3.4 A3.8 A5.3 B2.14 B2.2 B4.1 B4.2 B4.5 B4.6,7
code_audit/run20_cycle12_100_reaudit.csv,per-module audit rows (committed artifact),37,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run35_eligibility.json,per-module audit rows (committed artifact),37,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run35_empirical_validation_results.csv,per-module audit rows (committed artifact),37,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
